name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
"""AW READY"" PLUMBING, LLC",(210) 410-5963,210 Radiance Dr,SAN ANTONIO,TX,78218,awreadyplbg17@gmail.com,,Registered,PM38123,State RMP Contractor,10/31/2026,"All Plumbing, Gas, Sewer; Camera, underground drain/sewer lines; Commercial General plumbing repairs; CSI Customer Service Inspection (TCEQ); Drain cleaning/unstop clogged drain/sewer; Existing Commercial, Remodel, Addition; Existing Residential, Remodel, Addition; Gas Test, Gas Meter Lock Out, Annual test; Lawn/Landscape Irrigation; New Commercial; New Residential; Pool and Spa heaters; Propane Gas (LP); Residential General plumbing repairs; Under slab Tunnel repairs; Water Heater and replacement; Water Softener, R.O. and replacement",,,,,SA City Portal
"1 Affordable Backflow Testing, Plumbing Services",(210) 725-2100,5308 Bander Rd,San Antonio,TX,78238,oneaffordablebackflowtest.co@yahoo.com,,Registered,RMP-25-46392,State RMP Contractor,09/30/2026,"All Plumbing, Gas, Sewer; Backflow Testing, Certification; Camera, underground drain/sewer lines; Commercial General plumbing repairs; Drain cleaning/unstop clogged drain/sewer; Existing Commercial, Remodel, Addition; Existing Residential, Remodel, Addition; Gas Test, Gas Meter Lock Out, Annual test; New Commercial; New Residential; Pool and Spa heaters; Propane Gas (LP); Residential General plumbing repairs; Under slab Tunnel repairs; Water Heater and replacement; Water Softener, R.O. and replacement",,,,,SA City Portal
10/10 Construction LLC,(817) 938-4518,100 S Bois D Arc St,Grandview,TX,76050,khackbart@1010llc.net,,Registered,HIC-25-00929,City Home Improvement Cntr,10/23/2027,Fences; Minor Repairs; Pools and Spas; Roofing,,,,,SA City Portal
"12 JORDON STONES, LLC",(210) 722-5513,1698 FM 966,Yoakum,TX,77995,derek@12jordanstones.com,,Registered,H919835,City Residential Building Cntr,04/10/2026,Additions; Fences; Foundations; Minor Repairs; New Homes; Pools and Spas; Roofing,,,,,SA City Portal
"1807 Land & Cattle Company, LLC dba Dwell Dominion Group",(210) 383-5573,5886 De Zavala Road,San Antonio,TX,78249,phooker13@me.com,,Registered,RBC-24-00245,City Residential Building Cntr,03/02/2028,Additions; Fences; Foundations; Minor Repairs; New Homes; Pools and Spas; Roofing,,,,,SA City Portal
1964,(210) 896-2362,4035 CANYON PARKWAY,SAN ANTONIO,TX,78259,dndayton@aol.com,,Registered,HBE27897,State Mechanical Contractor - HBE,12/06/2026,Commercial; Residential,,,,,SA City Portal
1ST CALL PLBG HTG & AIR,(210) 446-0200,5511 Brewster St.,San Antonio,TX,78233,jybarra@1stcallsa.com,,Registered,HAE28438,State Mechanical Contractor - HAE,03/04/2027,Commercial; Existing repair/replacement; New Construction; Residential,,,,,SA City Portal
"1st Choice Heating & Air Conditioning, LLC",(210) 225-3033,15018 Tradesman,San Antonio,TX,78249,,,"Heating and Air Conditioning, Heating Contractors, Commercial Air Conditioning Contractors",,,,,A+,,,https://www.bbb.org/us/tx/san-antonio/profile/heating-and-air-conditioning/1st-choice-heating-air-conditioning-llc-0825-19110,BBB
"1ST CHOICE HTG&AIR CONDITION,L",(210) 325-0518,2018 DAYLIGHT CREST,SAN ANTONIO,TX,78230,ed@1stchoicecompanies.com,,Registered,HAC16094,State Mechanical Contractor - HAC,12/03/2026,Chillers/Cooling Towers; Commercial; Commercial Kitchen; Duct Testing; Existing repair/replacement; New Construction; Refrigeration; Residential,,,,,SA City Portal
1ST Class Roofing,(210) 596-6230,511 W Gerald,SAN ANTONIO,TX,78221,sindyalvarado2421@gmail.com,,Registered,HIC-24-00449,City Home Improvement Cntr,05/17/2026,Fences; Minor Repairs; Pools and Spas; Roofing,,,,,SA City Portal
1st Reliable Service,(210) 970-0454,7107 RIDGE PORT DR,CONVERSE,TX,78109,1streliableservice@gmail.com,,Registered,HBE-25-104753,State Mechanical Contractor - HBE,05/20/2026,Existing repair/replacement; Residential,,,,,SA City Portal
2 Gens Plumbing,(830) 743-9166,548 mallow drive,New braunfels,TX,78130,2gensplumbing@gmail.com,,Registered,RMP-25-45144,State RMP Contractor,02/28/2027,"All Plumbing, Gas, Sewer; Commercial General plumbing repairs",,,,,SA City Portal
210 Electrical,(210) 677-9818,5738 Larkdale Dr,San Antonio,TX,78233,juan@210electrical.com,,Registered,SEC-25-701643,State Electrical Contractor,10/31/2026,Commercial General Electrical; Residential General Electrical,,,,,SA City Portal
210 POWER ELECTRIC,(210) 725-5763,10407 CATFISH LN,SAN ANTONIO,TX,78224,cejaisabella@hotmail.com,,Registered,SEC000391417,State Electrical Contractor,02/06/2027,Commercial General Electrical; Residential General Electrical,,,,,SA City Portal
210-PLUMBER,(210) 758-6237,9355 Bandera Rd Suite 112,SAN ANTONIO,TX,78250,210-plumber@att.net,,Registered,PM12634,State RMP Contractor,07/31/2026,"All Plumbing, Gas, Sewer",,,,,SA City Portal
3 KINGS AC,(214) 660-6404,2304 EVANS AVE,FORT WORTH,TX,76104,martinezrey99@hotmail.com,,Registered,HBE-25-72569,State Mechanical Contractor - HBE,05/09/2026,Commercial; Existing repair/replacement; New Construction; Refrigeration; Residential,,,,,SA City Portal
33 Electric,(832) 974-9343,3303 legends garden dr,spring,TX,77386,garcia1184@yahoo.com,,Registered,SEC-26-318265,State Electrical Contractor,09/01/2026,Commercial General Electrical,,,,,SA City Portal
"360 Degrees Painting & Remodeling, LLC",(210) 778-6408,Live Oak,San Antonio,TX,,,,"Painting Contractors, Roofing Contractors, General Contractor",,,,,A+,,,https://www.bbb.org/us/tx/live-oak/profile/painting-contractors/360-degrees-painting-remodeling-llc-0825-1000195554,BBB
360 General Contracting LLC dba 360 Inspired Electrical,(830) 340-2642,940 ULSTER,NEW BRAUNFELS,TX,78130,JWEBB@360NSPIREDELECTRICAL.COM,,Registered,SEC-26-371923,State Electrical Contractor,06/27/2026,Commercial General Electrical; Residential General Electrical,,,,,SA City Portal
3:23 FENCE COMPANY,(210) 323-1257,9833 SAXET DR,BOERNE,TX,78006,molguin85@gmail.com,,Registered,HIC-25-01077,City Home Improvement Cntr,12/05/2027,Fences,,,,,SA City Portal
3D CONCRETE,(210) 769-3371,1625 Pasadena,SAN ANTONIO,TX,78201,mario3dconcretemv@icloud.com,,Registered Plus,TS931688,City Sidewalk & Curb Contractor,12/31/2029,Commercial; Residential,,,,,SA City Portal
3D ELECTRIC,(210) 288-9014,322 WESTHILL,SAN ANTONIO,TX,78201,ddd_electric@hotmail.com,,Registered,SEC000239098,State Electrical Contractor,04/27/2026,Commercial General Electrical; Residential General Electrical,,,,,SA City Portal
3G IRRIGATION LLC,(210) 313-6401,15745 Benton City Rd.,Von Ormy,TX,78073,jmg@3girrigation.com,,Registered,IRR-25-LI0015293,State Irrigator Contractor,08/31/2026,"Backflow Testing, Certification; Commercial Lawn/Landscape Irrigation; Residential Lawn/Landscape Irrigation",,,,,SA City Portal
3J HVAC LLC,,725 IBERIS RD,ABILENE,TX,79606,JUSTIN@3HVAC.NET,,Registered,HAE-25-145914,State Mechanical Contractor - HAE,12/16/2026,Commercial; Existing repair/replacement; New Construction; Residential,,,,,SA City Portal
3R ELECTRIC,(210) 771-8740,418 MCMULLEN,SAN ANTONIO,TX,78210,rgarcia21064@yahoo.com,,Registered,SEC-20-33839,State Electrical Contractor,06/22/2026,Commercial General Electrical; Photovoltaics; Pools; Residential General Electrical,,,,,SA City Portal
3VMechanicalService,(210) 414-4556,338 E Whittier St,San Antonio,TX,78210,,,Air Conditioning Contractors,,,,,A+,,,https://www.bbb.org/us/tx/san-antonio/profile/air-conditioning-contractor/3v-mechanical-service-0825-90023515,BBB
4 WAY CONTRACTORS AND REMODELING,(210) 702-2777,22800 BULVERDE RD 1706,SAN ANTONIO,TX,78261,RR@4WAYCONTRACTORS.COM,,Registered,HIC-23-01214,City Home Improvement Cntr,10/27/2027,Fences; Minor Repairs; Pools and Spas; Roofing,,,,,SA City Portal
447 EAST MAGNOLIA   LLC,(210) 286-1430,1143 W Kings HWY,San Antonio,TX,78210,ALVAREZBUYS@GMAIL.COM,,Registered,H932196,City Residential Building Cntr,02/03/2028,Additions; Fences; Foundations; Minor Repairs; New Homes; Pools and Spas; Roofing,,,,,SA City Portal
"4AELECRICAL SERVICES, LLC",(210) 621-8687,9207 JIGGITTY DR.,SAN ANTONIO,TX,78254,halonzo@4aelectricalservices.com,,Registered,SEC000406612,State Electrical Contractor,08/07/2026,Residential General Electrical,,,,,SA City Portal
4D SERVICES,(361) 220-4852,6600 FAIRDALE APT 226,SAN ANTONIO,TX,78218,JSMART.ENT@GMAIL.COM,,Registered,HIC-21-01728,City Home Improvement Cntr,05/14/2027,Fences; Minor Repairs; Pools and Spas,,,,,SA City Portal
"4GS REALTY, LLC",(210) 382-3241,518 Wildberry Cr,San Antonio,TX,78258,gasgon73@gmail.com,,Registered,H932585,City Residential Building Cntr,02/10/2028,New Homes,,,,,SA City Portal
4H Plumbing Contractors,(210) 838-4693,6036 Circle Oak Drive,Bulverde,TX,78163,eric@4hplumbingcontractors.com,,Registered,RMP-26-44854,State RMP Contractor,04/30/2026,"All Plumbing, Gas, Sewer; Camera, underground drain/sewer lines; Commercial General plumbing repairs; Drain cleaning/unstop clogged drain/sewer; Existing Residential, Remodel, Addition; Gas Test, Gas Meter Lock Out, Annual test; New Residential; Propane Gas (LP)",,,,,SA City Portal
4J'S ELECTRIC,(210) 887-2572,8418 magdelana run,helotes,TX,78023,jbnsons@GMAIL.COM,,Registered,SEC000222023,State Electrical Contractor,07/15/2026,Commercial General Electrical; Residential General Electrical,,,,,SA City Portal
4L Construction,(210) 489-9599,427 Big Oak Dr,San Antonio,TX,78264,liselaleman@yahoo.com,,Registered,HIC-23-01409,City Home Improvement Cntr,12/12/2027,Fences; Minor Repairs; Roofing,,,,,SA City Portal
4L PLUMBING,(210) 262-8618,8130 Prospect Point,San Antonio,TX,78255,Edgarlozano2023@gmail.com,,Registered,PM16098,State RMP Contractor,08/31/2026,"All Plumbing, Gas, Sewer",,,,,SA City Portal
5 Star Real Estate,(210) 825-5829,4935 Bending Trl,San Antonio,TX,78247,wannamaker@satx.rr.com,,Registered,HIC-24-00380,City Home Improvement Cntr,04/29/2026,Fences; Minor Repairs; Roofing,,,,,SA City Portal
5G ELECTRIC & ENGINEERING LLC,(210) 609-5909,1711 S LAREDO ST STE 109,SAN ANTONIO,TX,78207,5gelectric81@gmail.com,,Registered,SEC000470496,State Electrical Contractor,06/06/2026,Commercial General Electrical; Residential General Electrical,,,,,SA City Portal
5TH STREET SERVICES LLC,(830) 237-0878,225 PRIMROSE WAY,NEW BRAUNFELS,TX,78132,danielclevenger@example.com,,Registered,PM41208,State RMP Contractor,06/30/2026,"All Plumbing, Gas, Sewer; Backflow Testing, Certification; Camera, underground drain/sewer lines; Commercial General plumbing repairs; Commercial Site Utilities; Compressed Natural Gas (CNG); CSI Customer Service Inspection (TCEQ); Drain cleaning/unstop clogged drain/sewer; Existing Commercial, Remodel, Addition; Existing Residential, Remodel, Addition; Gas Test, Gas Meter Lock Out, Annual test; Lawn/Landscape Irrigation; Medical Gas, Health Care Facilities; New Commercial; New Residential; On-site Sewage Facility (OSSF); Pool and Spa heaters; Propane Gas (LP); Rain Water Harvesting (WSPS); Residential Fire Sprinkler (MRFPSS); Residential General plumbing repairs; Under slab Tunnel repairs; Water Heater and replacement; Water Softener, R.O. and replacement",,,,,SA City Portal
"6B PLUMBING, LLC",(254) 793-0155,10553 W FM 487,FLORENCE,TX,76527,DERRIEL@6BPLUMBING.COM,,Registered,PM4101,State RMP Contractor,08/31/2026,New Commercial; New Residential,,,,,SA City Portal
"72 Degrees Air Conditioning,Heating, andPlumbing- Texas",(830) 251-6920,684 FM 2093,Fredericksburg,TX,78624,,,"Heating Contractors, Plumber, Heating and Air Conditioning",,,,,A+,,,https://www.bbb.org/us/tx/fredericksburg/profile/heating-contractors/72-degrees-air-conditioning-heating-and-plumbing-texas-0825-90009306,BBB
"7K Mechanical, Inc.",(830) 312-7126,22903 FM 3009,San Antonio,TX,78266,office@7kmechanical.com,,"Air Conditioning Contractors, Heating and Air Conditioning, Air Duct Cleaning",HAC-21-72498,State Mechanical Contractor - HAC,05/05/2026,Chillers/Cooling Towers; Commercial; Commercial Kitchen; Existing repair/replacement; New Construction; Refrigeration; Residential,A+,,,https://www.bbb.org/us/tx/san-antonio/profile/air-conditioning-contractor/7k-mechanical-inc-0825-1000139873,"BBB, SA City Portal"
820 ENTERISE LLC,(210) 309-0090,3206 CLARK AVE,SAN ANTONO,TX,78210,arr3206@yahoo.com,,Registered,HIC-24-00796,City Home Improvement Cntr,10/01/2026,Fences; Minor Repairs; Pools and Spas; Roofing,,,,,SA City Portal
8A Electric Service,(956) 563-9221,4221 Sno Bird Land,Mission,TX,78572,8AELECT4221@GMAIL.COM,,Registered,SEC-20-69931,State Electrical Contractor,11/27/2026,Commercial General Electrical; Residential General Electrical,,,,,SA City Portal
"8A ELECTRIC,INC.",(830) 313-6360,PO BOX 6401,San Antonio,TX,78209,hilda@8aelectric.com,,Registered,SEC000228512,State Electrical Contractor,11/19/2026,Commercial General Electrical; Photovoltaics; Pools; Residential General Electrical,,,,,SA City Portal
