name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
TurboHome,(415) 941-5285,327 19th St,Oakland,CA,94612,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/oakland/profile/real-estate-agent/turbohome-1116-963738,BBB
Better Homes Realty,(510) 562-8600,5942 MacArthur Blvd Ste B,Oakland,CA,94605,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/oakland/profile/real-estate-broker/better-homes-realty-1116-920772,BBB
Michael W. Smith- Your Home Sold Guaranteed Realty,(925) 570-5130,2323 Broadway,Oakland,CA,94612,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/oakland/profile/real-estate/michael-w-smith-your-home-sold-guaranteed-realty-1116-878932,BBB
"Maureen Caldwell-Meurer, Keller Williams Oakland",(510) 915-0092,Oakland,Alameda,CA,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/oakland/profile/real-estate/maureen-caldwell-meurer-keller-williams-oakland-1116-877315,BBB
Kristen Von Bargen - Realtor,(510) 326-6302,342 Highland Ave,Piedmont,CA,94611,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/piedmont/profile/real-estate-agent/kristen-von-bargen-realtor-1116-875161,BBB
"The Lapham Company, Inc.",(510) 594-7600,4844 Telegraph Ave,Oakland,CA,94609,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/oakland/profile/apartments/the-lapham-company-inc-1116-31345,BBB
Keller Williams-Eloise Middleton,(510) 386-0547,4937 Telegraph Ave,Oakland,CA,94609,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/oakland/profile/real-estate-services/keller-williams-eloise-middleton-1116-926189,BBB
Edrington and Associates,(510) 749-4880,5944 Claremont Ave # 2,Oakland,CA,94618,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/oakland/profile/real-estate/edrington-and-associates-1116-930021,BBB
The VillageRealEstateCompany,(510) 278-0800,1048 Grant Ave,San Lorenzo,CA,94580,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/san-lorenzo/profile/real-estate/the-village-real-estate-company-1116-76889,BBB
PontarRealEstate,(415) 421-2877,12 Geary Street,"Suite 506 , San Francisco",CA,94108,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/san-francisco/profile/property-management/pontar-real-estate-1116-49941,BBB
"ReferralExchange, Inc.",(415) 693-1400,425 Bush St STE 200,San Francisco,CA,94108,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/san-francisco/profile/marketing-programs/referralexchange-inc-1116-458879,BBB
"Black Book International, Inc.",(415) 937-1869,1160 Battery St Ste 100,San Francisco,CA,94111,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/san-francisco/profile/real-estate/black-book-international-inc-1116-897268,BBB
The Olsen Team,(925) 381-2151,1150 Moraga Way Ste 200,Moraga,CA,94556,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/moraga/profile/real-estate/the-olsen-team-1116-928253,BBB
"Andrea Gordon, Realtor® — COMPASS",(510) 421-6818,801 Delaware St,Berkeley,CA,94710,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/berkeley/profile/real-estate-agent/andrea-gordon-realtor%C2%AE-compass-1116-536857,BBB
"TARGA Residential Brokerage, Inc.",(415) 494-7009,1390 Market St Ste 200,San Francisco,CA,94102,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/san-francisco/profile/real-estate-services/targa-residential-brokerage-inc-1116-896612,BBB
MakrasRealEstate,(415) 282-8400,1193 Church St,San Francisco,CA,94114,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/san-francisco/profile/real-estate/makras-real-estate-1116-49263,BBB
Ava Realty,(415) 349-4355,4178 Mission St,San Francisco,CA,94112,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ca/san-francisco/profile/real-estate/ava-realty-1116-912853,BBB
"Amanda JonesRealEstate, Inc.",(415) 218-2179,3512 16th St,San Francisco,CA,94114,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/san-francisco/profile/real-estate/amanda-jones-associates---california-compass-ii-inc-1116-942129,BBB
