name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
"Mehner WeiserRealEstateGroup, LLC",(907) 223-1632,3350 Midtown Pl Ste 100,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate/mehner-weiser-real-estate-group-llc-1296-1000123670,BBB
AlaskaRealEstateConnection LLC,(907) 302-6975,255 E Fireweed Ln Ste 102,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate/alaska-real-estate-connection-llc-1296-1000127341,BBB
PartnersRealEstateLLC,(907) 694-4994,11940 Business Blvd Ste 202,Eagle River,AK,99577,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/eagle-river/profile/real-estate/partners-real-estate-llc-1296-12961,BBB
"Katherine Dehoop, Realtor",(907) 230-8522,1174 N Leatherleaf Loop Ste A,Wasilla,AK,99654,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-agent/katherine-dehoop-realtor-1296-1000121551,BBB
Arctic Wolf Properties LLC,(907) 203-6929,Wasilla,Anchorage,AK,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate/arctic-wolf-properties-llc-1296-1000190674,BBB
Alaska Realty Experts LLC,(907) 406-0191,751 E 36th Ave Ste 104,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate/alaska-realty-experts-llc-1296-1000125719,BBB
TolbertRealEstateGroup,(907) 250-1981,561 E 36th Ave Ste 200,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate-agent/tolbert-real-estate-group-1296-1000190597/addressId/883753,BBB
Bernard Powell / ReMax Properties,(907) 257-0404,3350 Midtown Pl,ANCHORAGE,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate-agent/bernard-powell-remax-properties-1296-22474080,BBB
"Mark Masley, RE-MAX Dynamic Properties",(907) 727-7653,3350 Midtown Pl,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate-agent/mark-masley-re-max-dynamic-properties-1296-22729399,BBB
Michelle LemaireRealEstate,(907) 414-4988,3350 Midtown Pl,Anchorage,AK,99503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-agent/michelle-lemaire-real-estate-1296-1000071625,BBB
