name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
"Andrea Gordon, Realtor® — COMPASS",(510) 421-6818,801 Delaware St,Berkeley,CA,94710,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/berkeley/profile/real-estate-agent/andrea-gordon-realtor%C2%AE-compass-1116-536857,BBB
HPI Financial,(707) 581-6999,1864 San Antonio Ave Ste 100,Berkeley,CA,94707,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/berkeley/profile/mortgage-broker/hpi-financial-1116-407022/addressId/58994,BBB
Edrington and Associates,(510) 749-4880,5944 Claremont Ave # 2,Oakland,CA,94618,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/oakland/profile/real-estate/edrington-and-associates-1116-930021,BBB
Keller Williams-Eloise Middleton,(510) 386-0547,4937 Telegraph Ave,Oakland,CA,94609,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/oakland/profile/real-estate-services/keller-williams-eloise-middleton-1116-926189,BBB
"The Lapham Company, Inc.",(510) 594-7600,4844 Telegraph Ave,Oakland,CA,94609,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/oakland/profile/apartments/the-lapham-company-inc-1116-31345,BBB
Kristen Von Bargen - Realtor,(510) 326-6302,342 Highland Ave,Piedmont,CA,94611,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/piedmont/profile/real-estate-agent/kristen-von-bargen-realtor-1116-875161,BBB
Michael W. Smith- Your Home Sold Guaranteed Realty,(925) 570-5130,2323 Broadway,Oakland,CA,94612,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/oakland/profile/real-estate/michael-w-smith-your-home-sold-guaranteed-realty-1116-878932,BBB
TurboHome,(415) 941-5285,327 19th St,Oakland,CA,94612,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/oakland/profile/real-estate-agent/turbohome-1116-963738,BBB
"Maureen Caldwell-Meurer, Keller Williams Oakland",(510) 915-0092,Oakland,Berkeley,CA,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/oakland/profile/real-estate/maureen-caldwell-meurer-keller-williams-oakland-1116-877315,BBB
The Olsen Team,(925) 381-2151,1150 Moraga Way Ste 200,Moraga,CA,94556,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/moraga/profile/real-estate/the-olsen-team-1116-928253,BBB
Dana GreenRealEstateTeam-CompassRealEstate,(925) 339-1918,3595 Mt Diablo Blvd,Lafayette,CA,94549,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/lafayette/profile/real-estate/dana-green-real-estate-team-compass-real-estate-1116-900618,BBB
Better Homes Realty,(510) 562-8600,5942 MacArthur Blvd Ste B,Oakland,CA,94605,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/oakland/profile/real-estate-broker/better-homes-realty-1116-920772,BBB
