name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
Home TeamRealEstate,(432) 614-0781,1518 N Texas Ave,Odessa,TX,79761,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/odessa/profile/property-management/evolution-432-realty-llc-0825-1000190962,BBB
TROWER REALTOR COMMERCIAL,(432) 333-3211,1412 E 8th St,Odessa,TX,79761,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/odessa/profile/real-estate/trower-realtor-commercial-0825-13000367,BBB
Kimberly QuinteroRealEstateGroup,(432) 231-8153,1807 E 7th St,Odessa,TX,79761,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/odessa/profile/real-estate-agent/kimberly-quintero-real-estate-group-0825-1000230196,BBB
Sims & GuessRealEstateInc,(432) 368-6800,5050 E University Blvd Ste 7,Odessa,TX,79762,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/odessa/profile/real-estate/sims-guess-realtors-0825-10000237,BBB
The Sales Team Realtors,(432) 618-1818,507 Tradewinds Blvd,Midland,TX,79706,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/midland/profile/real-estate-broker/the-sales-team-realtors-0825-1000195887,BBB
STACY GONZALEZ REALTY GROUP LLC,(432) 213-9500,3300 N A St Bldg 1 Ste 110,Midland,TX,79705,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/tx/midland/profile/real-estate-broker/stacy-gonzalez-realty-group-llc-0825-1000232005,BBB
Acme Realty Company,(432) 445-4814,212 W 3rd St,Pecos,TX,79772,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/pecos/profile/real-estate/acme-realty-company-0825-90117950,BBB
West Texas Realty,(432) 837-7486,600 W Avenue E,Alpine,TX,79830,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/alpine/profile/real-estate/west-texas-realty-0825-21001198,BBB
"Lori Woehl, Realtor",(432) 352-8054,3371 Knickerbocker Road,"Ste 36 , San Angelo",TX,76904,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/san-angelo/profile/real-estate-agent/lori-woehl-realtor-1055-16851,BBB
Sutherland Realtors,(806) 798-0947,5701 79th St,Lubbock,TX,79424,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/lubbock/profile/real-estate-agent/sutherland-realtors-0875-60448,BBB
"Cy CawthronRealEstate, LLC",(806) 632-6539,6401 107th St,Lubbock,TX,79424,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/lubbock/profile/real-estate-agent/cy-cawthron-real-estate-llc-0875-91347656,BBB
"Rex AndrewsRealEstateGroup, LLC",(806) 777-6556,10210 Quaker Ave,Lubbock,TX,79424,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/lubbock/profile/real-estate-agent/rex-andrews-real-estate-group-llc-0875-66137,BBB
Steen Realty Group,(806) 392-0578,10210 Quaker Ave,Lubbock,TX,79424,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/lubbock/profile/real-estate/steen-realty-group-0875-91349928,BBB
Lubbock Discount Realty,(806) 577-4677,4413 82nd St Ste 115,Lubbock,TX,79424,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/lubbock/profile/real-estate/lubbock-discount-realty-0875-35147,BBB
West Texas Realtors,(806) 785-6500,5010 Kenosha Ave,Lubbock,TX,79413,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/lubbock/profile/real-estate-agent/west-texas-realtors-0875-61117,BBB
Baum Realtors,(432) 580-0001,2435 Kermit Hwy,Odessa,TX,79761,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/odessa/profile/real-estate-agent/baum-realtors-0825-1000182543,BBB
Angelina AntoineRealEstateGroup,(915) 474-6306,Odessa,Crane,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/odessa/profile/real-estate-agent/angelina-antoine-real-estate-group-0825-1000220029,BBB
JPS Realty,(432) 770-5116,1167 E 42nd St,Odessa,TX,79762,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/odessa/profile/real-estate-agent/jps-realty-0825-1000138841,BBB
"Priscilla Contreras, Realtor",(432) 290-0569,4200 Maple Ave,Odessa,TX,79762,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/odessa/profile/real-estate-agent/priscilla-contreras-realtor-0825-1000132272,BBB
Carrie Shaver Realty,(432) 556-1615,5000 E University Blvd Ste 1,Odessa,TX,79762,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/odessa/profile/real-estate-agent/carrie-shaver-realty-0825-1000137934,BBB
Berkshire Hathaway HomeServices Cooper Realty,(432) 689-7700,3415 West Illinois Avenue,Midland,TX,79703,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/midland/profile/real-estate-agent/berkshire-hathaway-homeservices-cooper-realty-0825-1000251871,BBB
Investidom LLC,(432) 254-4256,223 W Wall St Ste 2,Midland,TX,79701,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/canyon-lake/profile/real-estate-agent/investidom-llc-0825-1000190124,BBB
"Naj Hasan, REALTOR®",(432) 425-1286,201 West Wall Street Suite 800,Midland,TX,79701,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/midland/profile/real-estate-agent/naj-hasan-realtor%C2%AE-0825-1000248680,BBB
CM RanchRealEstateLLC,(432) 219-2220,6800 W County Road 48,Midland,TX,79707,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/midland/profile/real-estate-agent/cm-ranch-real-estate-llc-0825-1000112275,BBB
The Doss Team - Midland 1st ChoiceRealEstate,(432) 599-2375,3319 Caldera Boulevard,Midland,TX,79707,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/midland/profile/real-estate-agent/the-doss-team-midland-1st-choice-real-estate-0825-1000244588,BBB
Celina Torres- Tracy Farrow Realty,(432) 255-2220,4400 N Big Spring St A5,Midland,TX,79705,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/midland/profile/real-estate-agent/celina-torres-tracy-farrow-realty-0825-1000255170,BBB
EmpireRealState Group,(575) 391-0080,2201 N Kingsley Dr,Hobbs,NM,88240,,,Real Estate Agent,,Real Estate Agent,,,A-,,,https://www.bbb.org/us/nm/hobbs/profile/real-estate-agent/empire-real-state-group-0806-99185306,BBB
TexasRealEstate,(325) 207-8555,1310 Lake County Road 248,Colorado City,TX,79512,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/colorado-city/profile/real-estate-agent/texas-real-estate-0795-28343,BBB
Town & CountryRealEstate,(325) 728-5879,724 Hickory St,Colorado City,TX,79512,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/colorado-city/profile/real-estate-agent/town-country-real-estate-0795-33169,BBB
Deloera Realty,(325) 728-8769,1641 Hickory St,Colorado City,TX,79512,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/colorado-city/profile/real-estate-agent/deloera-realty-0795-32632,BBB
King Land & Water,(432) 426-2024,600 State Street,Fort Davis,TX,79734,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/fort-davis/profile/real-estate-agent/king-land-water-0825-1000248720,BBB
Rocky SpoontsRealEstateMortgage Company,(325) 949-7719,2868 W Beauregard Ave,San Angelo,TX,76901,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/san-angelo/profile/real-estate/rocky-spoonts-real-estate-mortgage-company-1055-11558,BBB
Angelo Home Team,(325) 227-4663,3006 W. Beauregard Ave,San Angelo,TX,76901,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/san-angelo/profile/real-estate-agent/angelo-home-team-1055-14298,BBB
Moore of San Angelo - Keller Williams Realty,(325) 939-7733,4121 Kensington Circle,San Angelo,TX,76904,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/tx/san-angelo/profile/real-estate-agent/moore-of-san-angelo-keller-williams-realty-1055-16849,BBB
Gateway First Bank,(918) 712-9000,4850 Knickerbocker,San Angelo,TX,76904,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/san-angelo/profile/mortgage-broker/gateway-first-bank-1025-20000307/addressId/48285,BBB
JWRealEstate,(325) 656-2188,18045 Kenley Lane,Christoval,TX,76935,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/christoval/profile/real-estate/jw-real-estate-1055-14558,BBB
Loraine Housing Authority,(325) 737-2675,304 W Colorado Ave,Loraine,TX,79532,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/loraine/profile/real-estate-agent/loraine-housing-authority-0795-31669,BBB
Carachi Property Management,(325) 766-3319,20 Cypress St,Roscoe,TX,79545,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/roscoe/profile/real-estate-agent/carachi-property-management-0795-34731,BBB
CrawfordRealEst Appraisal,(325) 573-0383,9062 County Road 465,Hermleigh,TX,79526,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/hermleigh/profile/real-estate-agent/crawford-real-est-appraisal-0795-36376,BBB
Hackfeld's Home & RanchReal,(325) 573-8505,1707 30th St # C,Snyder,TX,79549,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/snyder/profile/real-estate-agent/hackfelds-home-ranch-real-0795-33408,BBB
"Deloera, Abel",(325) 575-2578,279 35th St,Snyder,TX,79549,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/tx/snyder/profile/real-estate-agent/deloera-abel-0795-35469,BBB
De Loera Realty,(325) 575-2575,4300 College Ave,Snyder,TX,79549,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/snyder/profile/real-estate-agent/de-loera-realty-0795-35798,BBB
Neff's Mesquite Ridge Realty,(325) 515-4160,3610 College Ave STE A,Snyder,TX,79549,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/snyder/profile/real-estate-agent/neffs-mesquite-ridge-realty-0795-29775,BBB
