name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
Coldwell Banker Desert Lakes Realty,(575) 744-4960,PO Box 1083,Elephant Butte,NM,87935,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nm/elephant-butte/profile/real-estate/coldwell-banker-desert-lakes-realty-0806-44009/addressId/73490,BBB
Gomez Realty Solutions,(915) 926-9664,7391 Remcon Cir,El Paso,TX,79912,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate/gomez-realty-solutions-0895-99174980,BBB
Rita Ulloa-Realtor,(303) 437-0013,1701 Bassett Ave Ste 142,El Paso,TX,79901,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate-consultant/rita-ulloa-realtor-0895-99172423,BBB
"DKD Associates, Inc.",(915) 772-9177,2029 Trawood Dr,El Paso,TX,79935,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate/dkd-associates-inc-0895-99123235,BBB
Options Realty,(915) 600-5455,2562 Trawood Dr,El Paso,TX,79936,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate/options-realty-0895-99130285,BBB
Casa by Owner,(915) 587-4670,1612 N Lee Trevino Dr,El Paso,TX,79936,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate/casa-by-owner-0895-99123723,BBB
ClearView Realty LLC,(915) 855-1110,12247 Rojas Dr,El Paso,TX,79936,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate-agent/clearview-realty-llc-0895-99135539,BBB
"Novoa Realty, LLC",(520) 249-0840,1065 F Ave STE 5,Douglas,AZ,85607,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/douglas/profile/real-estate-agent/novoa-realty-llc-1286-20080454,BBB
"Tierra Antigua Realty, LLC",(520) 544-2335,415 W Main St,Safford,AZ,85546,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/safford/profile/real-estate/tierra-antigua-realty-llc-1286-20000089/addressId/46658,BBB
Housetopia L.L.C,(407) 717-7241,941 W Morse Blvd Ste 100,Winter Park,FL,32789,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/winter-park/profile/real-estate-services/housetopia-llc-0733-235964393,BBB
