name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
Sell Direct Iowa,(515) 444-5155,Des Moines,Des Moines,IA,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/des-moines/profile/home-buyers/sell-direct-iowa-0664-32157618,BBB
Lane Investments,(515) 705-0277,825 41st St,Des Moines,IA,50312,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/des-moines/profile/real-estate-agent/lane-investments-0664-32071459,BBB
SoldFast,(515) 218-9196,8509 Franklin Ave,Clive,IA,50325,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/ia/clive/profile/home-buyers/soldfast-0664-32157553,BBB
"VIA Group, Realtors",(515) 661-2818,2700 Westown Pkwy Ste 200,West Des Moines,IA,50266,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/west-des-moines/profile/real-estate/via-group-realtors-0664-32123575,BBB
"Sanav Property Management, LLC",(515) 823-0228,4500 Westown Pkwy Ste 115,West Des Moines,IA,50266,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/west-des-moines/profile/property-management/sanav-property-management-llc-0664-32147721,BBB
"NaigRealEstate, LLC",(515) 499-3414,3361 NW 81st Ln,Ankeny,IA,50023,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/ankeny/profile/real-estate-investing/we-buy-houses-in-des-moines-0664-32134183,BBB
Furman Corporation,(515) 232-8884,2607 Northridge Pkwy,Ames,IA,50010,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/ames/profile/real-estate/furman-corporation-0664-22001218,BBB
"Francisco Zambrano – Realtor, RE/MAX Precision",(641) 352-9421,132 W Main St,Marshalltown,IA,50158,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/marshalltown/profile/real-estate/francisco-zambrano-realtor-remax-precision-0664-32159206,BBB
Pinnacle Realty LLC,,1918 Saint Andrews Ct NE,Cedar Rapids,IA,52402,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/cedar-rapids/profile/real-estate/pinnacle-realty-llc-0664-32123382,BBB
"Heartland Properties, Inc.",(712) 325-0445,535 W Broadway # 100,Council Bluffs,IA,51503,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/council-bluffs/profile/real-estate/heartland-properties-inc-0714-104004554,BBB
"HikeRealEstate, P.C.",(402) 291-2500,114 E Mission Ave,Bellevue,NE,68005,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/bellevue/profile/real-estate/hike-real-estate-pc-0714-300091440,BBB
Revel Realty,(402) 291-0814,1313 Harlan Drive,Bellevue,NE,68005,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/bellevue/profile/real-estate-broker/revel-realty-0714-300092437,BBB
Nebraska Realty,(402) 491-0100,105 N 31st Ave STE 102,Omaha,NE,68131,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/omaha/profile/real-estate/nebraska-realty-0714-118000174/addressId/53229,BBB
Castro Realty Group,(402) 319-0093,4018 L St,Omaha,NE,68107,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/omaha/profile/real-estate/castro-realty-group-0714-300105317,BBB
"A Simple Nest, LLC",(402) 850-5660,Omaha,Des Moines,IA,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/omaha/profile/senior-services/a-simple-nest-llc-0714-300184081,BBB
Stay Home,(402) 880-4003,7801 Pacific St,Omaha,NE,68114,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/omaha/profile/real-estate/stay-home-0714-600004817,BBB
BirnstihlRealEstateGroup-Berkshire Hathaway Home Services AmbassadorRealEstate,(402) 669-0415,10404 Essex Ct Ste 201,Omaha,NE,68114,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/omaha/profile/real-estate-agent/birnstihl-real-estate-group-berkshire-hathaway-home-services-ambassador-real-estate-0714-1000059077,BBB
NP Dodge Company,(402) 397-4900,8701 W Dodge Rd STE 300,Omaha,NE,68114,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/omaha/profile/real-estate/np-dodge-company-0714-104000388,BBB
Monarch Realty Group,(402) 714-4456,3639 N 129th St,Omaha,NE,68164,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/omaha/profile/real-estate/monarch-realty-group-0714-300286073,BBB
"Sherryl Longacre, Realtor - RE/MAX Results",(402) 719-4176,11212 Davenport St,Omaha,NE,68154,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/omaha/profile/real-estate-agent/sherryl-longacre-realtor-remax-results-0714-300284753,BBB
OMNE Partners CommercialRealEstate,(402) 697-8899,2819 S 125th Ave,"Ste. 252 , Millard",NE,68144,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/millard/profile/commercial-real-estate/omne-partners-0714-112000139,BBB
Nebraska Realty - Sue Henson,(402) 669-9600,17117 Burt St #220,Omaha,NE,68118,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/omaha/profile/real-estate-agent/nebraska-realty-sue-henson-0714-300165240,BBB
Team Rosso,(402) 637-7522,331 Village Pointe Plz,Omaha,NE,68118,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/omaha/profile/real-estate-agent/team-rosso-0714-300069888,BBB
"5109RealEstate, LLC",(402) 719-3175,PO Box 223,Elkhorn,NE,68022,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/elkhorn/profile/real-estate-investing/5109-real-estate-llc-0714-300168211,BBB
"Liberty CoreRealEstate, L.L.C.",(402) 933-4683,2618 N Main St,Elkhorn,NE,68022,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ne/elkhorn/profile/real-estate-consultant/liberty-core-real-estate-llc-0714-300099558,BBB
KLRealEstate,(319) 325-3852,2497 N Sycamore Haven Dr,Nauvoo,IL,62354,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/il/nauvoo/profile/real-estate-agent/kl-real-estate-0734-1000051865,BBB
Turn Key Realty,(816) 903-2226,105 S Jefferson St Ste C1,Kearney,MO,64060,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/mo/kearney/profile/real-estate-agent/turn-key-realty-0714-1000071394,BBB
Saddlery Properties Inc,(515) 875-4910,309 Court Ave # 500,Des Moines,IA,50309,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/des-moines/profile/real-estate-agent/saddlery-properties-inc-0664-32110530,BBB
TerrusRealEstateGroup,(515) 471-4400,100 Court Ave STE 400,Des Moines,IA,50309,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/des-moines/profile/real-estate-agent/terrus-real-estate-group-0664-32095591,BBB
Essex Meadows Inc,(515) 875-4750,400 Locust St # 830,Des Moines,IA,50309,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/des-moines/profile/real-estate-agent/essex-meadows-inc-0664-32107219,BBB
"The Eisenlauer Team, Re/MaxRealEstateGroup",(515) 979-2883,932 N Shadyview Blvd,Pleasant Hill,IA,50327,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/pleasant-hill/profile/real-estate-agent/the-eisenlauer-team-remax-real-estate-group-0664-32081244,BBB
Phit Properties LLC,(641) 847-0727,6070 Goldfinch Dr,Pleasant Hill,IA,50327,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/pleasant-hill/profile/real-estate-agent/phit-properties-llc-0664-32091465,BBB
Peachtree Properties,(515) 321-4134,PO Box 12067,Des Moines,IA,50312,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/des-moines/profile/real-estate-agent/peachtree-properties-0664-32091435,BBB
W N C Inc & Assoc,(515) 259-9407,2203 Grand Ave,Des Moines,IA,50312,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/des-moines/profile/real-estate-agent/w-n-c-inc-assoc-0664-32110729,BBB
Re/Max Concepts,(515) 276-2872,2203 Grand Ave,Des Moines,IA,50312,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/des-moines/profile/real-estate-agent/remax-concepts-0664-32028308,BBB
Des MoinesRealEstateSVC,(515) 279-9574,682 37th St,Des Moines,IA,50312,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/des-moines/profile/real-estate-agent/des-moines-real-estate-svc-0664-32105594,BBB
Drake UniversityRealEstate,(515) 271-2196,2600 Forest Ave,Des Moines,IA,50311,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/des-moines/profile/real-estate-agent/drake-university-real-estate-0664-32110640,BBB
All Investors Property MGMT,(515) 577-7360,PO Box 36811,Des Moines,IA,50315,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/des-moines/profile/real-estate-agent/all-investors-property-mgmt-0664-32072564,BBB
Iowa Maintenance & MGMT LLC,(515) 250-3901,PO Box 37248,Des Moines,IA,50315,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/des-moines/profile/real-estate-agent/iowa-maintenance-mgmt-llc-0664-32083887,BBB
Gusland-Castek Appraisal CO,(515) 279-1072,7105 Reite Ave,Windsor Heights,IA,50324,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/windsor-heights/profile/real-estate-agent/gusland-castek-appraisal-co-0664-32111232,BBB
Jdiamond Solutions LLC,(515) 402-3382,2112 E Walnut St,Des Moines,IA,50317,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/des-moines/profile/real-estate-agent/jdiamond-solutions-llc-0664-32129037,BBB
Christ CO,(515) 223-4255,2315 Ashworth Rd,West Des Moines,IA,50265,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/west-des-moines/profile/real-estate-agent/christ-co-0664-32104966,BBB
Twenty/20RealEstate,(515) 554-5718,332 5Th St,West Des Moines,IA,50265,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/west-des-moines/profile/real-estate-agent/twenty20-real-estate-0664-32146379,BBB
Margulies Property Management,(515) 226-9100,2100 Westown Pkwy # 200,West Des Moines,IA,50265,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/west-des-moines/profile/real-estate-agent/margulies-property-management-0664-32087738,BBB
Tyler Peterson - Realtor,(515) 230-4743,812 Ashworth Rd,West Des Moines,IA,50265,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/west-des-moines/profile/real-estate-agent/tyler-peterson-realtor-0664-32106322,BBB
Commercial Realty Group,(515) 221-2575,2801 EP True Pkwy # 605,West Des Moines,IA,50265,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/west-des-moines/profile/real-estate-agent/commercial-realty-group-0664-32069931,BBB
Donahoe Properties LLC,(515) 225-0913,1155 20th St,West Des Moines,IA,50265,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/west-des-moines/profile/real-estate-agent/donahoe-properties-llc-0664-32106946,BBB
Eychaner Properties,(515) 226-2281,3751 EP True Pkwy,West Des Moines,IA,50265,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/west-des-moines/profile/real-estate-agent/eychaner-properties-0664-32107246,BBB
Elnada Properties Inc,(515) 274-2130,4108 Colt Dr,West Des Moines,IA,50265,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/west-des-moines/profile/real-estate-agent/elnada-properties-inc-0664-32107173,BBB
Church Insurance,(515) 279-8864,2737 Shoreview Cir,Des Moines,IA,50320,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/des-moines/profile/real-estate-agent/church-insurance-0664-32104989,BBB
Appraisal Specialists of Iowa,(515) 371-9413,6397 Meredith Dr,Urbandale,IA,50322,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/urbandale/profile/real-estate-agent/appraisal-specialists-of-iowa-0664-32128258,BBB
"Matt Grohe, Realtor",(515) 988-3726,8020 Douglas Ave,Des Moines,IA,50322,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ia/des-moines/profile/real-estate-agent/matt-grohe-realtor-0664-32006020,BBB
Adams Darlene RLEstate,(515) 251-6919,8047 Dellwood Dr,Urbandale,IA,50322,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ia/urbandale/profile/real-estate-agent/adams-darlene-rl-estate-0664-32072112,BBB
