name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
"The CalAgentsRealty, Inc.",(510) 899-9221,998 A St Ste C,Hayward,CA,94541,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/hayward/profile/real-estate/the-cal-agents-realty-inc-1116-960079,BBB
Dixit Properties,(510) 468-3929,Hayward,Hayward,CA,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/hayward/profile/real-estate/dixit-properties-1116-944246,BBB
The VillageRealEstateCompany,(510) 278-0800,1048 Grant Ave,San Lorenzo,CA,94580,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/san-lorenzo/profile/real-estate/the-village-real-estate-company-1116-76889,BBB
Jerry Jacques Broker - Coldwell Banker Realty,(510) 608-7653,3340 Walnut Ave Ste 110,Fremont,CA,94538,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/fremont/profile/real-estate/jerry-jacques-broker-coldwell-banker-realty-1116-43677,BBB
SpecialtyRealEstateServices,(800) 400-2144,6701 Koll Center Parkway Suite 250,"#2538 , Pleasanton",CA,94566,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/pleasanton/profile/real-estate/specialty-real-estate-services-1116-878369,BBB
Inna Lehman - eXp Realty,(415) 202-6733,2603 Camino Ramon Ste 200,San Ramon,CA,94583,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/san-ramon/profile/real-estate/inna-lehman-exp-realty-1116-978824,BBB
Better Homes Realty,(510) 562-8600,5942 MacArthur Blvd Ste B,Oakland,CA,94605,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/oakland/profile/real-estate-broker/better-homes-realty-1116-920772,BBB
Main Street Financial Services,(800) 734-9625,2186 Rheem Dr Ste B1,Pleasanton,CA,94588,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/pleasanton/profile/mortgage-broker/main-street-financial-services-1116-24596,BBB
"LifestyleRealEstateServices, Inc.",(925) 230-8375,4101 Dublin Blvd Ste F-506,Dublin,CA,94568,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/dublin/profile/real-estate/lifestyle-real-estate-services-inc-1116-903593,BBB
StowersRealEstate,(925) 393-0331,700 Hartz Way Ste 200,Danville,CA,94526,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/danville/profile/property-management/stowers-real-estate-1116-457314,BBB
"Maureen Caldwell-Meurer, Keller Williams Oakland",(510) 915-0092,Oakland,Hayward,CA,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/oakland/profile/real-estate/maureen-caldwell-meurer-keller-williams-oakland-1116-877315,BBB
The Olsen Team,(925) 381-2151,1150 Moraga Way Ste 200,Moraga,CA,94556,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/moraga/profile/real-estate/the-olsen-team-1116-928253,BBB
Lisa SusnowRealEstateConsultant,(650) 302-0527,1250 San Carlos Ave Ste 101,San Carlos,CA,94070,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/san-carlos/profile/real-estate-agent/lisa-susnow-today-sothebys-realty-1116-877151,BBB
"Mary Murphy,RealEstateBroker - Compass",(650) 773-4999,1377 El Camino Real,Menlo Park,CA,94025,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/menlo-park/profile/real-estate-broker/mary-murphy-real-estate-broker-compass-1116-958913,BBB
QuestRealEstate,(650) 343-4824,159 E. 5th Avenue,San Mateo,CA,94401,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/san-mateo/profile/real-estate/quest-real-estate-1116-167741,BBB
Kristen Von Bargen - Realtor,(510) 326-6302,342 Highland Ave,Piedmont,CA,94611,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ca/piedmont/profile/real-estate-agent/kristen-von-bargen-realtor-1116-875161,BBB
