name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
"Sieva Realty, LLC.",(904) 223-9949,2406 University Blvd W # 2,Jacksonville,FL,32217,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-broker/sieva-realty-llc-0403-235980616,BBB
"NetWorth Realty of Jacksonville, LLC",(904) 524-8466,4811 Beach Blvd Suite 107,Jacksonville,FL,32207,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate/networth-realty-of-jacksonville-llc-0403-236018999/addressId/129808,BBB
Next Level Agent Support,(904) 884-5782,3710 Boulevard,Jacksonville,FL,32206,,,Real Estate Agent,,Real Estate Agent,,,A-,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-services/next-level-agent-support-0403-236031076,BBB
CashGeeks,(904) 420-4001,103 Century 21 Dr Ste 100,Jacksonville,FL,32216,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-broker/cashgeeks-0403-236014005,BBB
Orbit Properties,(904) 425-2513,301 W Bay St Ste 14550,Jacksonville,FL,32202,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-investing/orbit-properties-0403-236010625,BBB
"Compass Property Management Group, LLC.",(904) 598-1557,2044 Gilmore Street,Jacksonville,FL,32204,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/property-management/compass-property-management-group-llc-0403-171734661,BBB
"Spectrum Realty Services, LLC.",(904) 389-7311,9803 Old Saint Augustine Rd Ste 1,Jacksonville,FL,32257,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-broker/spectrum-realty-services-llc-0403-235968120,BBB
"Nest FindersRealEstate, Inc.",(904) 565-9040,9889 Gate Pkwy N Ste 402,Jacksonville,FL,32246,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/property-management/nest-finders-property-management-0403-235964344,BBB
Smooth House Buyers,(904) 907-8325,9838 Old Baymeadows Rd PMB 164,Jacksonville,FL,32256,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-agent/smooth-house-buyers-0403-236027410,BBB
Autoland Jax Corp,(904) 855-5477,8849 Arlington Expy,Jacksonville,FL,32211,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/used-car-dealers/autoland-jax-corp-0403-236022711,BBB
MYP GreenRealEstateConsulting,(954) 419-6623,Jacksonville,Jacksonville,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-consultant/myp-green-real-estate-consulting-0403-236029782,BBB
