name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
Arctic Wolf Properties LLC,(907) 203-6929,Wasilla,Kenai,AK,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate/arctic-wolf-properties-llc-1296-1000190674,BBB
Mossy Oak Properties Of Alaska - Kenai,(907) 283-3883,511 Main St,Kenai,AK,99611,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/kenai/profile/real-estate-services/mossy-oak-properties-of-alaska-kenai-1296-1000071653,BBB
Esther M Chambers,(907) 251-0255,170 N Birch St Ste 102,Soldotna,AK,99669,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/soldotna/profile/real-estate-agent/esther-m-chambers-1296-90006869,BBB
Mossy Oak Properties Of Alaska - Soldotna,(907) 262-7300,43199 Sterling Hwy,Soldotna,AK,99669,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/soldotna/profile/real-estate-services/mossy-oak-properties-of-alaska-soldotna-1296-1000071654,BBB
Alaska Aviation & Property Claims,(907) 262-8339,47097 Jefferson Ave,Soldotna,AK,99669,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ak/soldotna/profile/real-estate-agent/alaska-aviation-property-claims-1296-22694053,BBB
Michael & Decker LLC,(907) 274-1475,Anchorage,Kenai,AK,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate-agent/michael-decker-llc-1296-22444974,BBB
IEC Realty,(907) 373-7744,Wasilla,Kenai,AK,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-agent/iec-realty-1296-22647352,BBB
"North Star Realty Mat-Su Group, LLC",(907) 355-8765,Wasilla,Kenai,AK,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-agent/north-star-realty-mat-su-group-llc-1296-1000188580,BBB
BusinessBrokersof Alaska Inc,(907) 529-6230,Wasilla,Kenai,AK,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/wasilla/profile/real-estate-services/business-brokers-of-alaska-inc-1296-1000071655,BBB
"Amy Mackey-Hornak, Realtor",(907) 830-1294,Anchorage,Kenai,AK,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate/amy-mackey-hornak-realtor-1296-1000142701,BBB
"Rikrland Valuation Services, LLC",(907) 953-4559,44539 Sterling Hwy Ste 207,Soldotna,AK,99669,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/soldotna/profile/real-estate-appraiser/rikrland-valuation-services-llc-1296-1000189816,BBB
Cloud & RibelinRealEstateLLC,(907) 283-2745,805 Frontage Rd Ste 100a,Kenai,AK,99611,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ak/kenai/profile/apartments/cloud-ribelin-real-estate-llc-1296-22215684,BBB
KenaiRealProperty Services,(907) 283-7755,610 Attla Way # 6,Kenai,AK,99611,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/kenai/profile/real-estate/kenai-real-property-services-1296-22060729,BBB
Coast Property Management,(425) 339-3638,903 Cook Ave,Kenai,AK,99611,,,Real Estate Agent,,Real Estate Agent,,,F,,,https://www.bbb.org/us/ak/kenai/profile/property-management/coast-property-management-1296-512008/addressId/813141,BBB
Freedom Realty Kenai,(907) 262-1770,502 Lake St # 2,Kenai,AK,99611,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ak/kenai/profile/real-estate/freedom-realty-kenai-1296-13158,BBB
Preferred Realty & Management,(907) 283-5477,130 S Willow St # 4,Nikiski,AK,99611,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/nikiski/profile/real-estate/preferred-realty-management-1296-22712400,BBB
"Global Credit Union Home Loans, LLC",(907) 563-3033,230 Bidarka St Ste 110,Kenai,AK,99611,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/kenai/profile/real-estate-loans/global-credit-union-home-loans-llc-1296-10291/addressId/1241,BBB
Salamatof tribal council,(907) 283-7864,230 Main Street Loop,Kenai,AK,99611,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/kenai/profile/real-estate/salamatof-tribal-council-1296-22694037,BBB
Re/max Of The Peninsula,(907) 283-5888,10735 Kenai Spur Hwy # 2B,Kenai,AK,99611,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ak/kenai/profile/real-estate/remax-of-the-peninsula-1296-22734681,BBB
Bucho Building and Investment LLC,(907) 398-9392,35635 Kalifornsky Beach Rd,Kenai,AK,99611,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/kenai/profile/general-contractor/bucho-building-and-investment-llc-1296-22714491,BBB
Alaska 1st Realty Inc.,(907) 260-7653,44539 Sterling Hwy Ste 104,Soldotna,AK,99669,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ak/soldotna/profile/real-estate/alaska-1st-realty-inc-1296-22526789,BBB
Kenai Peninsula Houses,(907) 598-2800,170 N Birch St Ste 102,Soldotna,AK,99669,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ak/soldotna/profile/real-estate-services/kenai-peninsula-houses-1296-1000068152,BBB
Soldotna Realty,(907) 262-4402,139 Warehouse Dr STE B,Soldotna,AK,99669,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ak/soldotna/profile/real-estate/soldotna-realty-1296-22061614,BBB
Residential Mortgage LLC,(907) 222-8800,44296 Sterling Hwy Ste 232,Soldotna,AK,99669,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/soldotna/profile/real-estate-loans/residential-mortgage-llc-1296-16868/addressId/325692,BBB
StengaRealEstateGroup,(907) 262-6585,PO Box 3563,Soldotna,AK,99669,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ak/soldotna/profile/real-estate/stenga-real-estate-group-1296-22446876,BBB
Jack WhiteRealEstateof Soldotna,(907) 420-0655,34851 Kenai Spur Hwy,Soldotna,AK,99669,,,Real Estate Agent,,Real Estate Agent,,,C+,,,https://www.bbb.org/us/ak/soldotna/profile/real-estate/jack-white-real-estate-of-soldotna-1296-1000160128,BBB
Bay Arms Apartment Homes,(855) 411-9343,514 Overland Avenue #26,Kenai,AK,99611,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/kenai/profile/property-management/bay-arms-apartment-homes-1296-1000133176/addressId/788291,BBB
Nilchil Solutions LLC,(907) 395-4455,508 S Willow St Ste A,Kenai,AK,99611,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/kenai/profile/real-estate-services/nilchil-solutions-llc-1296-1000048697,BBB
Letzring Inc,(907) 398-5263,PO Box 6,Soldotna,AK,99669,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/soldotna/profile/real-estate-development/letzring-inc-1296-22953818/addressId/277939,BBB
Redoubt Realty,(907) 262-8855,47294 Progress Ct # A,Soldotna,AK,99669,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/soldotna/profile/real-estate/redoubt-realty-1296-22788207,BBB
Thompson Appraisal Group,(907) 398-3018,Po Box 4423,Soldotna,AK,99669,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/soldotna/profile/real-estate/thompson-appraisal-group-1296-22579185,BBB
Diligent Home Inspections,(907) 335-9979,Po Box 4332,Soldotna,AK,99669,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/soldotna/profile/real-estate/diligent-home-inspections-1296-22446802,BBB
Discovery Inspection Services,(907) 243-4476,Anchorage,Kenai,AK,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate/discovery-inspection-services-1296-22445660,BBB
"Chang Dae, LLC",(907) 632-1103,Anchorage,Kenai,AK,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/property-management/chang-dae-llc-1296-1000146818,BBB
William And Lorraine Brooks,(907) 349-3795,Anchorage,Kenai,AK,,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ak/anchorage/profile/concert-hall/william-and-lorraine-brooks-1296-1000072182,BBB
The Home Team Inspection Service,(907) 694-8326,Anchorage,Kenai,AK,,,,Real Estate Agent,,Real Estate Agent,,,,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate/the-home-team-inspection-service-1296-22053251,BBB
Reico AI Inc,(907) 602-2776,Anchorage,Kenai,AK,,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate-investing/reico-ai-inc-1296-1000169032,BBB
"Stan Sayers Appraisal, LLC",(907) 222-7575,Anchorage,Kenai,AK,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate-appraiser/stan-sayers-appraisal-llc-1296-22576625,BBB
BuyersRealEstateLLC,(907) 561-2227,Anchorage,Kenai,AK,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/anchorage/profile/real-estate/buyers-real-estate-llc-1296-22576668,BBB
"Kenai Peninsula Housing Initiatives, Inc.",(907) 235-4357,Homer,Kenai,AK,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/ak/homer/profile/property-management/kenai-peninsula-housing-initiatives-inc-1296-1000101677,BBB
