name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
"Agent's Choice Title, LLC",(386) 445-9550,5 Utility Dr Ste 17,Palm Coast,FL,32137,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/palm-coast/profile/title-agent/agents-choice-title-llc-0403-235969204,BBB
Better Buy Realty,(386) 445-9875,160 Cypress Point Pkwy Ste A101,Palm Coast,FL,32164,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/palm-coast/profile/real-estate-agent/better-buy-realty-0403-235984388,BBB
Bricks & MortarRealEstateand Development,(352) 445-3877,520 E Fort King St Ste A2,Ocala,FL,34471,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/ocala/profile/real-estate/bricks-mortar-real-estate-and-development-0733-90572618,BBB
Synergy Buys Houses Florida,(904) 364-1522,12574 Flagler Center Blvd Ste 101,Jacksonville,FL,32258,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/home-buyers/synergy-buys-houses-florida-0403-235999403,BBB
Keshman LLC,(904) 990-5606,12574 Flagler Center Blvd Ste 101,Jacksonville,FL,32258,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/property-management/keshman-llc-0403-236015200,BBB
TrinityRealEstateSolutions LLC,(786) 454-2888,124 N Nova Rd PMB 213,Ormond Beach,FL,32174,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/ormond-beach/profile/real-estate/patton-investment-properties-0733-90712750,BBB
Aloha Realty Of Florida LLC,(386) 846-6092,1300 Ocean Shore Blvd,Ormond Beach,FL,32176,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/ormond-beach/profile/real-estate-agent/aloha-realty-of-florida-llc-0733-90765048,BBB
"Spectrum Realty Services, LLC.",(904) 389-7311,9803 Old Saint Augustine Rd Ste 1,Jacksonville,FL,32257,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-broker/spectrum-realty-services-llc-0403-235968120,BBB
Bee Realty Corp,(386) 279-7522,Deland,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/deland/profile/real-estate/bee-realty-corp-0733-90579978,BBB
RealProperty Management Diversified,(352) 854-2221,7651 SW Highway 200 STE 209,Ocala,FL,34476,,,Real Estate Agent,,Real Estate Agent,,,B+,,,https://www.bbb.org/us/fl/ocala/profile/real-estate/real-property-management-diversified-0733-90317553/addressId/68434,BBB
"Kemp Realty Group, LLC",(386) 801-4276,135 E Church St,Deland,FL,32724,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/deland/profile/real-estate/kemp-realty-group-llc-0733-90730189,BBB
Integrity Home Buyers,(352) 304-4654,The Villages,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/the-villages/profile/real-estate/integrity-home-buyers-0733-90404309,BBB
Smooth House Buyers,(904) 907-8325,9838 Old Baymeadows Rd PMB 164,Jacksonville,FL,32256,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-agent/smooth-house-buyers-0403-236027410,BBB
RealEstateNOW,(386) 738-2845,1409 E New York Ave,Deland,FL,32724,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/deland/profile/real-estate/aparo-griffin-properties-inc-0733-90136725,BBB
"Sieva Realty, LLC.",(904) 223-9949,2406 University Blvd W # 2,Jacksonville,FL,32217,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-broker/sieva-realty-llc-0403-235980616,BBB
"Ocala's Choice Realty, LLC",(352) 307-4097,125 Marion Oaks Blvd,Ocala,FL,34473,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/ocala/profile/real-estate/ocalas-choice-realty-llc-0733-13006780,BBB
"Nest FindersRealEstate, Inc.",(904) 565-9040,9889 Gate Pkwy N Ste 402,Jacksonville,FL,32246,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/property-management/nest-finders-property-management-0403-235964344,BBB
Azael Kayser Properties,(407) 994-8625,13392 SW 63rd Ter,Ocala,FL,34473,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/ocala/profile/real-estate-agent/azael-kayser-properties-0733-90794945,BBB
"Concierge Realty Group, LLC",(904) 219-1689,549 Granada Terr,Ponte Vedra Beach,FL,32082,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/ponte-vedra-beach/profile/real-estate/concierge-realty-group-llc-0403-124314734,BBB
MYP GreenRealEstateConsulting,(954) 419-6623,Jacksonville,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-consultant/myp-green-real-estate-consulting-0403-236029782,BBB
CashGeeks,(904) 420-4001,103 Century 21 Dr Ste 100,Jacksonville,FL,32216,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-broker/cashgeeks-0403-236014005,BBB
Mary Lynn Realty,(386) 788-4338,1301 Beville Rd STE 21,Daytona Beach,FL,32119,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/daytona-beach/profile/real-estate/mary-lynn-realty-0733-4000197,BBB
"NetWorth Realty of Jacksonville, LLC",(904) 524-8466,4811 Beach Blvd Suite 107,Jacksonville,FL,32207,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate/networth-realty-of-jacksonville-llc-0403-236018999/addressId/129808,BBB
"Diamond LifeRealEstate, Inc.",(904) 834-1326,554 Jacksonville Dr,Jax Bch,FL,32250,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jax-bch/profile/commercial-real-estate/diamond-life-real-estate-inc-0403-235967294,BBB
Next Level Agent Support,(904) 884-5782,3710 Boulevard,Jacksonville,FL,32206,,,Real Estate Agent,,Real Estate Agent,,,A-,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-services/next-level-agent-support-0403-236031076,BBB
"Compass Property Management Group, LLC.",(904) 598-1557,2044 Gilmore Street,Jacksonville,FL,32204,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/property-management/compass-property-management-group-llc-0403-171734661,BBB
1 % Lists First Coast,(904) 472-4753,107 17th Ave S Unit A,Jacksonville Beach,FL,32250,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville-beach/profile/real-estate-broker/1-lists-first-coast-0403-236013777,BBB
"Dexter Copp PA, REALTOR® eXp Realty in Daytona",(386) 547-7355,Port Orange,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/port-orange/profile/real-estate/dexter-copp-pa-realtor%C2%AE-exp-realty-in-daytona-0733-235979158,BBB
Orbit Properties,(904) 425-2513,301 W Bay St Ste 14550,Jacksonville,FL,32202,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate-investing/orbit-properties-0403-236010625,BBB
Autoland Jax Corp,(904) 855-5477,8849 Arlington Expy,Jacksonville,FL,32211,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/used-car-dealers/autoland-jax-corp-0403-236022711,BBB
Anita's Antiques &EstateSales,(904) 477-6955,13412 Peregrine St,Jacksonville,FL,32225,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/estate-liquidators/anitas-antiques-estate-sales-0403-236017852,BBB
Melissa Hastings Realtor,(407) 408-7529,Sanford,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/sanford/profile/real-estate-agent/melissa-hastings-realtor-0733-235974023,BBB
I Am Multi-Services LLC,(352) 801-0013,Leesburg,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/leesburg/profile/mobile-notary/i-am-multi-services-llc-0733-235978411,BBB
Veterans Realty Group LLC,(863) 521-6072,Apopka,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/apopka/profile/real-estate/veterans-realty-group-llc-0733-235963556,BBB
180 CommercialRealEstateAdvisors,(407) 497-2323,Lake Mary,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/lake-mary/profile/commercial-real-estate/180-commercial-real-estate-advisors-0733-235976154,BBB
List Now Realty,(352) 385-7636,24818 Turkey Lake Rd,Howey In The Hills,FL,34737,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/howey-in-the-hills/profile/real-estate/list-now-realty-0733-90411889,BBB
"Zenn Homebuyers, LLC",(407) 910-2385,Longwood,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/longwood/profile/home-buyers/zenn-homebuyers-llc-0733-90410187,BBB
Lisa Duke Realty LLC,(904) 614-6166,731 Duval Station Rd Ste 551,Jacksonville,FL,32218,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/jacksonville/profile/real-estate/lisa-duke-realty-llc-0403-235968191,BBB
Firelight Realty,(407) 801-9967,346 Freeman St,"Suite 217 , Longwood",FL,32750,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/fl/longwood/profile/real-estate/firelight-realty-0733-235978670,BBB
Shrimp Capital Realty,(904) 430-3999,Fernandina Beach,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/fernandina-beach/profile/real-estate-broker/shrimp-capital-realty-0403-236022706,BBB
"FL Pro Brokers,LLC",(407) 790-7341,Orlando,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/orlando/profile/real-estate-broker/fl-pro-brokersllc-0733-90714609,BBB
OfferCharm LLC,(407) 519-9514,Alafaya,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/alafaya/profile/home-buyers/offercharm-llc-0733-90758877,BBB
The Simon Simaan GroupRealEstate,(407) 558-1396,Windermere,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/windermere/profile/real-estate-broker/the-simon-simaan-group-0733-90831251,BBB
"RealEstate360, Inc.",(321) 228-6880,Orlando,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/orlando/profile/real-estate/real-estate-360-inc-0733-90792253,BBB
"D&D Property Management Solutions, LLC",(407) 434-1693,Davenport,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A-,,,https://www.bbb.org/us/fl/davenport/profile/property-management/dd-property-management-solutions-llc-0733-235975445,BBB
Florida Legacy Realty LLC,(407) 914-6402,Kissimmee,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/kissimmee/profile/real-estate/florida-legacy-realty-llc-0733-235972068,BBB
iNotarizeServices LLC,(561) 875-6612,Davenport,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/davenport/profile/notary-public/inotarizeservices-llc-0733-235958421,BBB
"Florida Realty Marketplace, LLC",(863) 877-1915,Davenport,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/fl/davenport/profile/real-estate/florida-realty-marketplace-llc-0733-90638481,BBB
AroaRealEstateNear Me Incorporated,(321) 999-8689,Saint Cloud,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A-,,,https://www.bbb.org/us/fl/saint-cloud/profile/real-estate/aroa-real-estate-near-me-incorporated-0733-235973079,BBB
Giselle Gartzke - Top Florida Homes Realtor,(813) 772-4212,Zephyrhills,Palatka,FL,,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/fl/zephyrhills/profile/real-estate/giselle-gartzke-top-florida-homes-realtor-0653-90454408,BBB
