name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
Christy BulerezRealEstateTeam,(281) 685-5000,512 N. Friendswood Dr,Friendswood,TX,77546,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/friendswood/profile/real-estate-agent/christy-bulerez-real-estate-team-0915-90073115,BBB
"Networth Realty of Houston South, LLC",(888) 998-9688,311 Newport Blvd,League City,TX,77573,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/league-city/profile/real-estate/networth-realty-of-houston-south-llc-0915-90043862/addressId/160181,BBB
Area Texas Realty & Management,(713) 972-1222,2211 Norfolk St Ste 920,Houston,TX,77098,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/real-estate-agent/area-texas-realty-management-0915-90033667,BBB
The Shelley Stone Group,(713) 252-2100,9227 Turtle Pond Ln,Missouri City,TX,77459,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/missouri-city/profile/real-estate-agent/the-shelley-stone-group-0915-90074077,BBB
EmpowerHome,(866) 336-0174,5050 Westheimer Rd Ste 200,Houston,TX,77056,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/real-estate/empowerhome-0915-90069766/addressId/190796,BBB
Tushita Builders,(713) 440-9577,1980 Post Oak Blvd Ste 100,Houston,TX,77056,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/custom-home-builder/tushita-builders-0915-90072143,BBB
"Networth Realty of Houston, LLC",(281) 220-1000,116 W 10th St,Houston,TX,77008,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/real-estate/networth-realty-of-houston-llc-0915-90003386/addressId/116766,BBB
"OLopez Properties, Inc.",(832) 850-6135,Houston,Pearland,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/houston/profile/real-estate-agent/olopez-properties-inc-0915-90035432,BBB
"Evercrest Homes, LLC",(832) 280-8000,17424 W Grand Pkwy S Ste 424,Sugar Land,TX,77479,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/sugar-land/profile/real-estate-agent/evercrest-homes-llc-0915-90038487,BBB
Candid Realties LLC,(832) 449-0093,Richmond,Pearland,TX,,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/richmond/profile/real-estate-agent/candid-realties-llc-0915-90048617,BBB
