name,phone,address,city,state,zip_code,email,website,category,license_number,license_type,license_expiry,types_of_work,bbb_rating,google_rating,review_count,bbb_profile_url,source
Coldwell Banker Desert Lakes Realty,(575) 744-4960,PO Box 1083,Elephant Butte,NM,87935,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/nm/elephant-butte/profile/real-estate/coldwell-banker-desert-lakes-realty-0806-44009/addressId/73490,BBB
"Tierra Antigua Realty, LLC",(520) 544-2335,415 W Main St,Safford,AZ,85546,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/safford/profile/real-estate/tierra-antigua-realty-llc-1286-20000089/addressId/46658,BBB
Celina Murrieta-Gonzales PLLC,(520) 237-0940,PO Box 51,Alpine,AZ,85920,,,Real Estate Agent,,Real Estate Agent,,,A-,,,https://www.bbb.org/us/az/alpine/profile/real-estate-agent/celina-murrieta-gonzales-pllc-1126-1000158106/addressId/782161,BBB
Mesquite Ranch Realty Inc,(520) 766-6778,145 N Curtis Ave,Ft Grant,AZ,85643,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/ft-grant/profile/real-estate/mesquite-ranch-realty-inc-1286-20107064,BBB
"Novoa Realty, LLC",(520) 249-0840,1065 F Ave STE 5,Douglas,AZ,85607,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/douglas/profile/real-estate-agent/novoa-realty-llc-1286-20080454,BBB
Gomez Realty Solutions,(915) 926-9664,7391 Remcon Cir,El Paso,TX,79912,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate/gomez-realty-solutions-0895-99174980,BBB
Rita Ulloa-Realtor,(303) 437-0013,1701 Bassett Ave Ste 142,El Paso,TX,79901,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate-consultant/rita-ulloa-realtor-0895-99172423,BBB
"DKD Associates, Inc.",(915) 772-9177,2029 Trawood Dr,El Paso,TX,79935,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate/dkd-associates-inc-0895-99123235,BBB
Options Realty,(915) 600-5455,2562 Trawood Dr,El Paso,TX,79936,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate/options-realty-0895-99130285,BBB
Casa by Owner,(915) 587-4670,1612 N Lee Trevino Dr,El Paso,TX,79936,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate/casa-by-owner-0895-99123723,BBB
ClearView Realty LLC,(915) 855-1110,12247 Rojas Dr,El Paso,TX,79936,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/tx/el-paso/profile/real-estate-agent/clearview-realty-llc-0895-99135539,BBB
Cody Hoyer of ERA Four Feathers Realty,(801) 920-8857,1956 Crestwood Dr,Sierra Vista,AZ,85635,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/sierra-vista/profile/real-estate/cody-hoyer-of-era-four-feathers-realty-1286-20102379/addressId/47763,BBB
"Jocelyn T Lawley, Long Realty",(520) 266-2568,2363 E Fry Blvd,Sierra Vista,AZ,85635,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/sierra-vista/profile/real-estate/jocelyn-t-lawley-long-realty-1286-20110435,BBB
Century 21 Sunshine Realty,(928) 537-7121,69 West Deuce of Clubs,Show Low,AZ,85901,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/show-low/profile/real-estate/century-21-sunshine-realty-1126-10006179,BBB
"Merritt Realty Management, LLC",(520) 795-3100,3022 N Sourdough Pl,Tucson,AZ,85749,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/property-management/merritt-realty-management-llc-1286-23448,BBB
"Aurora Sky Realty, LLC",(520) 685-8210,1843 Paseo San Luis Ste A,Sierra Vista,AZ,85635,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/sierra-vista/profile/real-estate/aurora-sky-realty-llc-1286-20101843,BBB
Keller Williams Realtor Sierra Vista I Brandon & Krystal Winters | PatrioticRealEstateGroup,(520) 604-0014,185 S Moorman Ave,Sierra Vista,AZ,85635,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/sierra-vista/profile/real-estate/keller-williams-realtor-sierra-vista-i-brandon-krystal-winters---patriotic-real-estate-group-1286-20126181,BBB
"Shari M. Ward, PLLC Realtor",(520) 236-4279,705 E Wilcox Dr,Sierra Vista,AZ,85635,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/sierra-vista/profile/real-estate/shari-m-ward-pllc-realtor-1286-20104837,BBB
Judy Petersen of Coldwell Banker Realty,(520) 289-5436,11165 N La Canada Dr STE 175,Oro Valley,AZ,85737,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/oro-valley/profile/real-estate/judy-petersen-of-coldwell-banker-realty-1286-20089171,BBB
Mystery HouseRealEstate@ Realty Executives Arizona Territory,(520) 971-2832,6444 E Tanque Verde Rd,Tucson,AZ,85715,,,Real Estate Agent,,Real Estate Agent,,,A,,,https://www.bbb.org/us/az/tucson/profile/real-estate/mystery-house-real-estate-realty-executives-arizona-territory-1286-20126015,BBB
Indie Realty LLC,(520) 777-8973,7255 E Tanque Verde Rd,Tucson,AZ,85715,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-broker/indie-realty-llc-1286-20122486,BBB
"Michelle Bakarich PLLC, HomeSmart Advantage Group",(520) 991-6234,7481 E Tanque Verde Rd,Tucson,AZ,85715,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-agent/michelle-bakarich-pllc-homesmart-advantage-group-1286-20125626,BBB
"Charlie Spaulding III,RealEstateAgent",(520) 488-9091,3248 N White Heather Pl,Tucson,AZ,85750,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/charlie-spaulding-iii-real-estate-agent-1286-20095799,BBB
"The Gavlick Group, Tierra Antigua Realty",(520) 548-8548,7423 E Tanque Verde Rd,Tucson,AZ,85715,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/the-gavlick-group-tierra-antigua-realty-1286-20088608,BBB
Marc Martinez Realty Executives Arizona Territory,(520) 271-6175,6444 E Tanque Verde Rd,Tucson,AZ,85715,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-agent/marc-martinez-realty-executives-arizona-territory-1286-20090835,BBB
"Bidegain Realty, Inc.",(520) 886-9877,8755 E Broadway Blvd,Tucson,AZ,85710,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/bidegain-realty-inc-1286-386,BBB
House Buyers USA LLC,(520) 600-6583,4801 E Broadway Blvd Ste 401,Tucson,AZ,85711,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-services/house-buyers-usa-llc-1286-20109291,BBB
"Jody Raetzman, Tierra Antigua Realty",(520) 730-0765,1650 E River Rd Ste 202,Tucson,AZ,85718,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/jody-raetzman-tierra-antigua-realty-1286-20052935,BBB
Sell to Alan,(520) 404-0700,4007 E Paradise Falls Dr Ste 125,Tucson,AZ,85712,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/sell-to-alan-1286-20103632,BBB
Jackie TRealEstateLLC,(520) 850-1093,2890 E Skyline Dr Ste 250,Tucson,AZ,85718,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate/jackie-lee-tucson-realtor-1286-20124674,BBB
Barbara Bailor of Long Realty,(520) 665-3089,4051 E Sunrise Dr Ste 101,Tucson,AZ,85718,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-agent/barbara-bailor-of-long-realty-1286-20104737,BBB
Jose Flores with Realty Executives,(520) 484-3693,3300 E Sunrise Dr,Tucson,AZ,85718,,,Real Estate Agent,,Real Estate Agent,,,A+,,,https://www.bbb.org/us/az/tucson/profile/real-estate-agent/jose-flores-with-realty-executives-1286-20126069,BBB
